Epoch,Coding Loss,Reconstruction Loss,Total Loss
106,6.865405006408691,139.1618732561384,146.02728105817522
107,6.660600689479283,139.45603864397322,146.11663888113839
108,6.737284905569894,139.33006068638392,146.06734828404018
109,6.814011519295828,139.20366071428572,146.01767342703684
110,7.001279754638672,139.50085963657924,146.50213884626115
111,6.809044832502092,139.3070183454241,146.1160631452288
112,6.946991836002895,138.96679356166294,145.9137881905692
113,7.025721833365304,139.30959690638952,146.3353195626395
114,6.840208328792027,139.3931631033761,146.23337254115512
115,6.968807005201067,139.97155238560268,146.94036080496653
116,6.930906554630824,139.34266139439174,146.27357073102678
117,6.751941558292934,138.95567243303572,145.70761169433592
118,6.948423750741141,140.8563441685268,147.8047714669364
119,6.882718037196568,139.80620570591518,146.68892551967076
